trip_id,start_time,end_time,headway_secs
20C-GLOBAUX-04-I_2_0,12:18:15,13:53:15,475
20C-GLOBAUX-04-I_2_0,13:53:15,14:07:15,420
20C-GLOBAUX-04-I_2_0,14:07:15,17:18:35,410
20C-GLOBAUX-04-I_2_0,17:18:35,18:39:15,440
20C-GLOBAUX-04-I_2_0,18:39:15,20:13:15,470
20C-GLOBAUX-04-I_2_0,20:13:15,21:01:15,480
20C-GLOBAUX-04-I_2_0,21:01:15,21:18:15,510
20C-GLOBAUX-04-I_2_0,21:18:15,22:01:10,515
20C-GLOBAUX-04-I_2_0,22:01:10,22:10:10,540
20C-GLOBAUX-04-I_2_0,22:10:10,22:20:00,590
20C-GLOBAUX-04-I_2_0,22:20:00,24:30:00,600
20C-GLOBAUX-04-I_4_0,05:30:00,24:40:00,600
20C-GLOBAUX-04-I_4_0,24:40:00,24:48:30,510
20C-GLOBAUX-04-I_4_0,24:48:30,25:00:00,690
20C-GLOBAUX-04-I_4_1,05:30:00,25:00:00,600
20C-GLOBAUX-04-I_5_3,05:30:00,08:49:30,630
20C-GLOBAUX-04-I_5_3,08:49:30,08:59:45,615
20C-GLOBAUX-04-I_5_3,08:59:45,19:20:15,510
20C-GLOBAUX-04-I_5_3,19:20:15,19:30:00,585
20C-GLOBAUX-04-I_5_3,19:30:00,24:45:00,630
20C-GLOBAUX-04-I_5_2,05:30:00,09:21:00,630
20C-GLOBAUX-04-I_5_2,09:21:00,19:41:30,510
20C-GLOBAUX-04-I_5_2,19:41:30,19:51:00,570
20C-GLOBAUX-04-I_5_2,19:51:00,24:45:00,630
20M-GLOBAUX-04-S_1_3,05:30:00,05:38:00,480
20M-GLOBAUX-04-S_1_3,05:38:00,06:11:45,405
20M-GLOBAUX-04-S_1_3,06:11:45,06:17:55,370
20M-GLOBAUX-04-S_1_3,06:17:55,06:27:55,300
20M-GLOBAUX-04-S_1_3,06:27:55,06:57:55,225
20M-GLOBAUX-04-S_1_3,06:57:55,07:15:50,215
20M-GLOBAUX-04-S_1_3,07:15:50,07:38:00,190
20M-GLOBAUX-04-S_1_3,07:38:00,07:49:40,175
20M-GLOBAUX-04-S_1_3,07:49:40,07:57:55,165
20M-GLOBAUX-04-S_1_3,07:57:55,08:12:55,150
20M-GLOBAUX-04-S_1_3,08:12:55,08:34:55,165
20M-GLOBAUX-04-S_1_3,08:34:55,08:41:05,185
20M-GLOBAUX-04-S_1_3,08:41:05,08:44:15,190
20M-GLOBAUX-04-S_1_3,08:44:15,08:57:15,195
20M-GLOBAUX-04-S_1_3,08:57:15,09:13:55,200
20M-GLOBAUX-04-S_1_3,09:13:55,09:39:35,220
20M-GLOBAUX-04-S_1_3,09:39:35,09:44:05,270
20M-GLOBAUX-04-S_1_3,09:44:05,15:09:05,300
20M-GLOBAUX-04-S_1_3,15:09:05,15:13:55,290
20M-GLOBAUX-04-S_1_3,15:13:55,16:21:25,225
20M-GLOBAUX-04-S_1_3,16:21:25,16:34:25,195
20M-GLOBAUX-04-S_1_3,16:34:25,16:46:45,185
20M-GLOBAUX-04-S_1_3,16:46:45,17:19:45,180
20M-GLOBAUX-04-S_1_3,17:19:45,17:49:00,195
20M-GLOBAUX-04-S_1_3,17:49:00,18:52:45,225
20M-GLOBAUX-04-S_1_3,18:52:45,18:57:15,270
20M-GLOBAUX-04-S_1_3,18:57:15,22:27:15,300
20M-GLOBAUX-04-S_1_3,22:27:15,23:33:15,360
20M-GLOBAUX-04-S_1_3,23:33:15,23:54:15,420
20M-GLOBAUX-04-S_1_3,23:54:15,24:30:30,435
20M-GLOBAUX-04-S_1_3,24:30:30,24:38:00,450
20M-GLOBAUX-04-S_1_2,05:30:00,06:06:00,360
20M-GLOBAUX-04-S_1_2,06:06:00,06:16:00,300
20M-GLOBAUX-04-S_1_2,06:16:00,06:20:00,240
20M-GLOBAUX-04-S_1_2,06:20:00,06:35:00,225
20M-GLOBAUX-04-S_1_2,06:35:00,06:41:40,200
20M-GLOBAUX-04-S_1_2,06:41:40,07:46:40,195
20M-GLOBAUX-04-S_1_2,07:46:40,08:02:30,190
20M-GLOBAUX-04-S_1_2,08:02:30,08:32:30,180
20M-GLOBAUX-04-S_1_2,08:32:30,08:52:00,195
20M-GLOBAUX-04-S_1_2,08:52:00,08:55:30,210
20M-GLOBAUX-04-S_1_2,08:55:30,09:17:30,220
20M-GLOBAUX-04-S_1_2,09:17:30,09:26:30,270
20M-GLOBAUX-04-S_1_2,09:26:30,14:56:30,300
20M-GLOBAUX-04-S_1_2,14:56:30,15:01:00,270
20M-GLOBAUX-04-S_1_2,15:01:00,15:05:25,265
20M-GLOBAUX-04-S_1_2,15:05:25,15:37:25,240
20M-GLOBAUX-04-S_1_2,15:37:25,15:40:55,210
20M-GLOBAUX-04-S_1_2,15:40:55,16:06:55,195
20M-GLOBAUX-04-S_1_2,16:06:55,16:18:55,180
20M-GLOBAUX-04-S_1_2,16:18:55,17:11:10,165
20M-GLOBAUX-04-S_1_2,17:11:10,17:26:10,180
20M-GLOBAUX-04-S_1_2,17:26:10,17:35:55,195
20M-GLOBAUX-04-S_1_2,17:35:55,17:49:55,210
20M-GLOBAUX-04-S_1_2,17:49:55,18:31:10,225
20M-GLOBAUX-04-S_1_2,18:31:10,18:35:10,240
20M-GLOBAUX-04-S_1_2,18:35:10,18:39:40,270
20M-GLOBAUX-04-S_1_2,18:39:40,22:29:40,300
20M-GLOBAUX-04-S_1_2,22:29:40,22:35:30,350
20M-GLOBAUX-04-S_1_2,22:35:30,23:27:30,390
20M-GLOBAUX-04-S_1_2,23:27:30,23:41:30,420
20M-GLOBAUX-04-S_1_2,23:41:30,23:48:45,435
20M-GLOBAUX-04-S_1_2,23:48:45,24:11:15,450
20M-GLOBAUX-04-S_1_2,24:11:15,24:19:00,465
20M-GLOBAUX-04-S_1_2,24:19:00,24:35:00,480
20M-GLOBAUX-04-S_2_1,05:30:00,06:18:02,360
20M-GLOBAUX-04-S_2_1,06:18:02,06:23:06,304
20M-GLOBAUX-04-S_2_1,06:23:06,06:28:06,300
20M-GLOBAUX-04-S_2_1,06:28:06,07:05:37,225
20M-GLOBAUX-04-S_2_1,07:05:37,07:09:19,222
20M-GLOBAUX-04-S_2_1,07:09:19,07:19:34,205
20M-GLOBAUX-04-S_2_1,07:19:34,07:22:36,182
20M-GLOBAUX-04-S_2_1,07:22:36,07:31:36,180
20M-GLOBAUX-04-S_2_1,07:31:36,07:34:06,150
20M-GLOBAUX-04-S_2_1,07:34:06,07:36:38,152
20M-GLOBAUX-04-S_2_1,07:36:38,07:49:08,150
20M-GLOBAUX-04-S_2_1,07:49:08,07:51:42,154
20M-GLOBAUX-04-S_2_1,07:51:42,08:19:12,150
20M-GLOBAUX-04-S_2_1,08:19:12,08:21:40,148
20M-GLOBAUX-04-S_2_1,08:21:40,08:29:10,150
20M-GLOBAUX-04-S_2_1,08:29:10,08:34:50,170
20M-GLOBAUX-04-S_2_1,08:34:50,08:40:50,180
20M-GLOBAUX-04-S_2_1,08:40:50,08:44:10,200
20M-GLOBAUX-04-S_2_1,08:44:10,08:47:55,225
20M-GLOBAUX-04-S_2_1,08:47:55,08:51:39,224
20M-GLOBAUX-04-S_2_1,08:51:39,09:02:54,225
20M-GLOBAUX-04-S_2_1,09:02:54,09:06:35,221
20M-GLOBAUX-04-S_2_1,09:06:35,09:17:50,225
20M-GLOBAUX-04-S_2_1,09:17:50,09:21:34,224
20M-GLOBAUX-04-S_2_1,09:21:34,09:32:49,225
20M-GLOBAUX-04-S_2_1,09:32:49,09:36:33,224
20M-GLOBAUX-04-S_2_1,09:36:33,09:44:03,225
20M-GLOBAUX-04-S_2_1,09:44:03,09:49:03,300
20M-GLOBAUX-04-S_2_1,09:49:03,09:54:02,299
20M-GLOBAUX-04-S_2_1,09:54:02,10:04:02,300
20M-GLOBAUX-04-S_2_1,10:04:02,10:08:59,297
20M-GLOBAUX-04-S_2_1,10:08:59,10:33:59,300
20M-GLOBAUX-04-S_2_1,10:33:59,10:38:58,299
20M-GLOBAUX-04-S_2_1,10:38:58,11:03:58,300
20M-GLOBAUX-04-S_2_1,11:03:58,11:08:59,301
20M-GLOBAUX-04-S_2_1,11:08:59,12:48:59,300
20M-GLOBAUX-04-S_2_1,12:48:59,12:54:00,301
20M-GLOBAUX-04-S_2_1,12:54:00,14:29:00,300
20M-GLOBAUX-04-S_2_1,14:29:00,15:17:00,240
20M-GLOBAUX-04-S_2_1,15:17:00,15:27:30,210
20M-GLOBAUX-04-S_2_1,15:27:30,15:30:35,185
20M-GLOBAUX-04-S_2_1,15:30:35,15:49:50,165
20M-GLOBAUX-04-S_2_1,15:49:50,15:52:38,168
20M-GLOBAUX-04-S_2_1,15:52:38,16:05:08,150
20M-GLOBAUX-04-S_2_1,16:05:08,16:08:08,180
20M-GLOBAUX-04-S_2_1,16:08:08,17:04:48,200
20M-GLOBAUX-04-S_2_1,17:04:48,17:15:18,210
20M-GLOBAUX-04-S_2_1,17:15:18,17:34:03,225
20M-GLOBAUX-04-S_2_1,17:34:03,17:37:45,222
20M-GLOBAUX-04-S_2_1,17:37:45,18:00:15,225
20M-GLOBAUX-04-S_2_1,18:00:15,18:50:15,300
20M-GLOBAUX-04-S_2_1,18:50:15,18:55:13,298
20M-GLOBAUX-04-S_2_1,18:55:13,19:50:13,300
20M-GLOBAUX-04-S_2_1,19:50:13,19:55:10,297
20M-GLOBAUX-04-S_2_1,19:55:10,20:05:10,300
20M-GLOBAUX-04-S_2_1,20:05:10,20:10:07,297
20M-GLOBAUX-04-S_2_1,20:10:07,20:20:07,300
20M-GLOBAUX-04-S_2_1,20:20:07,20:25:06,299
20M-GLOBAUX-04-S_2_1,20:25:06,21:05:06,300
20M-GLOBAUX-04-S_2_1,21:05:06,21:10:05,299
20M-GLOBAUX-04-S_2_1,21:10:05,22:35:05,300
20M-GLOBAUX-04-S_2_1,22:35:05,22:41:35,390
20M-GLOBAUX-04-S_2_1,22:41:35,22:48:05,390
20M-GLOBAUX-04-S_2_1,22:48:05,22:54:50,405
20M-GLOBAUX-04-S_2_1,22:54:50,23:01:35,405
20M-GLOBAUX-04-S_2_1,23:01:35,23:08:35,420
20M-GLOBAUX-04-S_2_1,23:08:35,23:15:35,420
20M-GLOBAUX-04-S_2_1,23:15:35,23:22:32,417
20M-GLOBAUX-04-S_2_1,23:22:32,23:30:02,450
20M-GLOBAUX-04-S_2_1,23:30:02,23:37:32,450
20M-GLOBAUX-04-S_2_1,23:37:32,23:45:02,450
20M-GLOBAUX-04-S_2_1,23:45:02,23:52:31,449
20M-GLOBAUX-04-S_2_1,23:52:31,24:00:01,450
20M-GLOBAUX-04-S_2_1,24:00:01,24:07:31,450
20M-GLOBAUX-04-S_2_1,24:07:31,24:15:01,450
20M-GLOBAUX-04-S_2_1,24:15:01,24:22:51,470
20M-GLOBAUX-04-S_2_1,24:22:51,24:38:51,480
20M-GLOBAUX-04-S_2_0,05:30:00,05:36:50,410
20M-GLOBAUX-04-S_2_0,05:36:50,06:09:20,390
20M-GLOBAUX-04-S_2_0,06:09:20,06:44:20,300
20M-GLOBAUX-04-S_2_0,06:44:20,06:49:15,295
20M-GLOBAUX-04-S_2_0,06:49:15,07:02:45,270
20M-GLOBAUX-04-S_2_0,07:02:45,07:11:15,255
20M-GLOBAUX-04-S_2_0,07:11:15,07:15:05,230
20M-GLOBAUX-04-S_2_0,07:15:05,07:56:20,225
20M-GLOBAUX-04-S_2_0,07:56:20,08:10:00,205
20M-GLOBAUX-04-S_2_0,08:10:00,08:13:20,200
20M-GLOBAUX-04-S_2_0,08:13:20,08:16:20,180
20M-GLOBAUX-04-S_2_0,08:16:20,08:19:15,175
20M-GLOBAUX-04-S_2_0,08:19:15,08:35:45,165
20M-GLOBAUX-04-S_2_0,08:35:45,09:05:45,180
20M-GLOBAUX-04-S_2_0,09:05:45,09:09:05,200
20M-GLOBAUX-04-S_2_0,09:09:05,10:16:35,225
20M-GLOBAUX-04-S_2_0,10:16:35,10:20:30,235
20M-GLOBAUX-04-S_2_0,10:20:30,14:50:30,300
20M-GLOBAUX-04-S_2_0,14:50:30,14:55:15,285
20M-GLOBAUX-04-S_2_0,14:55:15,14:59:45,270
20M-GLOBAUX-04-S_2_0,14:59:45,15:27:45,240
20M-GLOBAUX-04-S_2_0,15:27:45,15:31:05,200
20M-GLOBAUX-04-S_2_0,15:31:05,15:40:50,195
20M-GLOBAUX-04-S_2_0,15:40:50,16:14:45,185
20M-GLOBAUX-04-S_2_0,16:14:45,16:34:00,165
20M-GLOBAUX-04-S_2_0,16:34:00,17:04:00,150
20M-GLOBAUX-04-S_2_0,17:04:00,17:15:00,165
20M-GLOBAUX-04-S_2_0,17:15:00,17:18:15,195
20M-GLOBAUX-04-S_2_0,17:18:15,17:31:35,200
20M-GLOBAUX-04-S_2_0,17:31:35,17:52:35,210
20M-GLOBAUX-04-S_2_0,17:52:35,18:26:20,225
20M-GLOBAUX-04-S_2_0,18:26:20,23:01:20,300
20M-GLOBAUX-04-S_2_0,23:01:20,23:19:20,360
20M-GLOBAUX-04-S_2_0,23:19:20,23:32:20,390
20M-GLOBAUX-04-S_2_0,23:32:20,23:46:20,420
20M-GLOBAUX-04-S_2_0,23:46:20,24:22:35,435
20M-GLOBAUX-04-S_2_0,24:22:35,24:30:00,445
20M-GLOBAUX-04-S_4_0,05:30:00,06:20:00,600
20M-GLOBAUX-04-S_4_0,06:20:00,06:38:00,360
20M-GLOBAUX-04-S_4_0,06:38:00,06:54:30,330
20M-GLOBAUX-04-S_4_0,06:54:30,08:36:20,235
20M-GLOBAUX-04-S_4_0,08:36:20,08:40:20,240
20M-GLOBAUX-04-S_4_0,08:40:20,09:25:20,270
20M-GLOBAUX-04-S_4_0,09:25:20,09:30:30,310
20M-GLOBAUX-04-S_4_0,09:30:30,09:40:00,570
20M-GLOBAUX-04-S_4_0,09:40:00,15:00:00,600
20M-GLOBAUX-04-S_4_0,15:00:00,15:07:00,420
20M-GLOBAUX-04-S_4_0,15:07:00,15:19:00,360
20M-GLOBAUX-04-S_4_0,15:19:00,15:28:00,270
20M-GLOBAUX-04-S_4_0,15:28:00,15:40:00,240
20M-GLOBAUX-04-S_4_0,15:40:00,18:16:40,235
20M-GLOBAUX-04-S_4_0,18:16:40,18:25:40,270
20M-GLOBAUX-04-S_4_0,18:25:40,18:31:30,350
20M-GLOBAUX-04-S_4_0,18:31:30,20:00:00,590
20M-GLOBAUX-04-S_4_0,20:00:00,24:40:00,600
20M-GLOBAUX-04-S_4_0,24:40:00,24:48:30,510
20M-GLOBAUX-04-S_4_0,24:48:30,25:00:00,690
20M-GLOBAUX-04-S_4_1,05:30:00,06:20:00,600
20M-GLOBAUX-04-S_4_1,06:20:00,06:38:00,360
20M-GLOBAUX-04-S_4_1,06:38:00,06:43:15,315
20M-GLOBAUX-04-S_4_1,06:43:15,06:52:25,275
20M-GLOBAUX-04-S_4_1,06:52:25,08:53:50,235
20M-GLOBAUX-04-S_4_1,08:53:50,09:16:20,270
20M-GLOBAUX-04-S_4_1,09:16:20,09:21:00,280
20M-GLOBAUX-04-S_4_1,09:21:00,09:30:00,540
20M-GLOBAUX-04-S_4_1,09:30:00,15:00:00,600
20M-GLOBAUX-04-S_4_1,15:00:00,15:18:00,360
20M-GLOBAUX-04-S_4_1,15:18:00,15:30:00,240
20M-GLOBAUX-04-S_4_1,15:30:00,17:58:50,235
20M-GLOBAUX-04-S_4_1,17:58:50,18:25:50,270
20M-GLOBAUX-04-S_4_1,18:25:50,18:32:35,405
20M-GLOBAUX-04-S_4_1,18:32:35,19:40:15,580
20M-GLOBAUX-04-S_4_1,19:40:15,19:50:00,585
20M-GLOBAUX-04-S_4_1,19:50:00,25:00:00,600
20M-GLOBAUX-04-S_5_3,05:30:00,05:57:00,405
20M-GLOBAUX-04-S_5_3,05:57:00,06:03:00,360
20M-GLOBAUX-04-S_5_3,06:03:00,07:37:30,270
20M-GLOBAUX-04-S_5_3,07:37:30,08:01:25,205
20M-GLOBAUX-04-S_5_3,08:01:25,08:08:25,210
20M-GLOBAUX-04-S_5_3,08:08:25,08:21:40,265
20M-GLOBAUX-04-S_5_3,08:21:40,09:38:10,270
20M-GLOBAUX-04-S_5_3,09:38:10,09:44:35,385
20M-GLOBAUX-04-S_5_3,09:44:35,14:43:35,390
20M-GLOBAUX-04-S_5_3,14:43:35,14:49:05,330
20M-GLOBAUX-04-S_5_3,14:49:05,15:24:05,300
20M-GLOBAUX-04-S_5_3,15:24:05,17:27:45,265
20M-GLOBAUX-04-S_5_3,17:27:45,17:37:15,285
20M-GLOBAUX-04-S_5_3,17:37:15,17:42:05,290
20M-GLOBAUX-04-S_5_3,17:42:05,22:27:05,300
20M-GLOBAUX-04-S_5_3,22:27:05,22:33:15,370
20M-GLOBAUX-04-S_5_3,22:33:15,24:45:00,465
20M-GLOBAUX-04-S_5_2,05:30:00,05:50:15,405
20M-GLOBAUX-04-S_5_2,05:50:15,05:56:30,375
20M-GLOBAUX-04-S_5_2,05:56:30,06:01:20,290
20M-GLOBAUX-04-S_5_2,06:01:20,07:53:50,270
20M-GLOBAUX-04-S_5_2,07:53:50,07:58:00,250
20M-GLOBAUX-04-S_5_2,07:58:00,08:29:30,210
20M-GLOBAUX-04-S_5_2,08:29:30,09:32:30,270
20M-GLOBAUX-04-S_5_2,09:32:30,09:38:30,360
20M-GLOBAUX-04-S_5_2,09:38:30,14:44:00,390
20M-GLOBAUX-04-S_5_2,14:44:00,15:44:00,300
20M-GLOBAUX-04-S_5_2,15:44:00,17:47:40,265
20M-GLOBAUX-04-S_5_2,17:47:40,22:27:40,300
20M-GLOBAUX-04-S_5_2,22:27:40,22:33:15,335
20M-GLOBAUX-04-S_5_2,22:33:15,24:45:00,465
20M-GLOBAUX-20-S_1_3,05:30:00,05:38:00,480
20M-GLOBAUX-20-S_1_3,05:38:00,06:11:45,405
20M-GLOBAUX-20-S_1_3,06:11:45,06:17:55,370
20M-GLOBAUX-20-S_1_3,06:17:55,06:27:55,300
20M-GLOBAUX-20-S_1_3,06:27:55,06:57:55,225
20M-GLOBAUX-20-S_1_3,06:57:55,07:15:50,215
20M-GLOBAUX-20-S_1_3,07:15:50,07:38:00,190
20M-GLOBAUX-20-S_1_3,07:38:00,07:49:40,175
20M-GLOBAUX-20-S_1_3,07:49:40,07:57:55,165
20M-GLOBAUX-20-S_1_3,07:57:55,08:12:55,150
20M-GLOBAUX-20-S_1_3,08:12:55,08:34:55,165
20M-GLOBAUX-20-S_1_3,08:34:55,08:41:05,185
20M-GLOBAUX-20-S_1_3,08:41:05,08:44:15,190
20M-GLOBAUX-20-S_1_3,08:44:15,08:57:15,195
20M-GLOBAUX-20-S_1_3,08:57:15,09:13:55,200
20M-GLOBAUX-20-S_1_3,09:13:55,09:39:35,220
20M-GLOBAUX-20-S_1_3,09:39:35,09:44:05,270
20M-GLOBAUX-20-S_1_3,09:44:05,15:09:05,300
20M-GLOBAUX-20-S_1_3,15:09:05,15:13:55,290
20M-GLOBAUX-20-S_1_3,15:13:55,16:21:25,225
20M-GLOBAUX-20-S_1_3,16:21:25,16:34:25,195
20M-GLOBAUX-20-S_1_3,16:34:25,16:46:45,185
20M-GLOBAUX-20-S_1_3,16:46:45,17:19:45,180
20M-GLOBAUX-20-S_1_3,17:19:45,17:49:00,195
20M-GLOBAUX-20-S_1_3,17:49:00,18:52:45,225
20M-GLOBAUX-20-S_1_3,18:52:45,18:57:15,270
20M-GLOBAUX-20-S_1_3,18:57:15,22:27:15,300
20M-GLOBAUX-20-S_1_3,22:27:15,23:33:15,360
20M-GLOBAUX-20-S_1_3,23:33:15,23:54:15,420
20M-GLOBAUX-20-S_1_3,23:54:15,24:30:30,435
20M-GLOBAUX-20-S_1_3,24:30:30,24:38:00,450
20M-GLOBAUX-20-S_1_2,05:30:00,06:06:00,360
20M-GLOBAUX-20-S_1_2,06:06:00,06:16:00,300
20M-GLOBAUX-20-S_1_2,06:16:00,06:20:00,240
20M-GLOBAUX-20-S_1_2,06:20:00,06:35:00,225
20M-GLOBAUX-20-S_1_2,06:35:00,06:41:40,200
20M-GLOBAUX-20-S_1_2,06:41:40,07:46:40,195
20M-GLOBAUX-20-S_1_2,07:46:40,08:02:30,190
20M-GLOBAUX-20-S_1_2,08:02:30,08:32:30,180
20M-GLOBAUX-20-S_1_2,08:32:30,08:52:00,195
20M-GLOBAUX-20-S_1_2,08:52:00,08:55:30,210
20M-GLOBAUX-20-S_1_2,08:55:30,09:17:30,220
20M-GLOBAUX-20-S_1_2,09:17:30,09:26:30,270
20M-GLOBAUX-20-S_1_2,09:26:30,14:56:30,300
20M-GLOBAUX-20-S_1_2,14:56:30,15:01:00,270
20M-GLOBAUX-20-S_1_2,15:01:00,15:05:25,265
20M-GLOBAUX-20-S_1_2,15:05:25,15:37:25,240
20M-GLOBAUX-20-S_1_2,15:37:25,15:40:55,210
20M-GLOBAUX-20-S_1_2,15:40:55,16:06:55,195
20M-GLOBAUX-20-S_1_2,16:06:55,16:18:55,180
20M-GLOBAUX-20-S_1_2,16:18:55,17:11:10,165
20M-GLOBAUX-20-S_1_2,17:11:10,17:26:10,180
20M-GLOBAUX-20-S_1_2,17:26:10,17:35:55,195
20M-GLOBAUX-20-S_1_2,17:35:55,17:49:55,210
20M-GLOBAUX-20-S_1_2,17:49:55,18:31:10,225
20M-GLOBAUX-20-S_1_2,18:31:10,18:35:10,240
20M-GLOBAUX-20-S_1_2,18:35:10,18:39:40,270
20M-GLOBAUX-20-S_1_2,18:39:40,22:29:40,300
20M-GLOBAUX-20-S_1_2,22:29:40,22:35:30,350
20M-GLOBAUX-20-S_1_2,22:35:30,23:27:30,390
20M-GLOBAUX-20-S_1_2,23:27:30,23:41:30,420
20M-GLOBAUX-20-S_1_2,23:41:30,23:48:45,435
20M-GLOBAUX-20-S_1_2,23:48:45,24:11:15,450
20M-GLOBAUX-20-S_1_2,24:11:15,24:19:00,465
20M-GLOBAUX-20-S_1_2,24:19:00,24:35:00,480
20M-GLOBAUX-20-S_2_1,05:30:00,06:18:02,360
20M-GLOBAUX-20-S_2_1,06:18:02,06:23:06,304
20M-GLOBAUX-20-S_2_1,06:23:06,06:28:06,300
20M-GLOBAUX-20-S_2_1,06:28:06,07:05:37,225
20M-GLOBAUX-20-S_2_1,07:05:37,07:09:19,222
20M-GLOBAUX-20-S_2_1,07:09:19,07:19:34,205
20M-GLOBAUX-20-S_2_1,07:19:34,07:22:36,182
20M-GLOBAUX-20-S_2_1,07:22:36,07:31:36,180
20M-GLOBAUX-20-S_2_1,07:31:36,07:34:06,150
20M-GLOBAUX-20-S_2_1,07:34:06,07:36:38,152
20M-GLOBAUX-20-S_2_1,07:36:38,07:49:08,150
20M-GLOBAUX-20-S_2_1,07:49:08,07:51:42,154
20M-GLOBAUX-20-S_2_1,07:51:42,08:19:12,150
20M-GLOBAUX-20-S_2_1,08:19:12,08:21:40,148
20M-GLOBAUX-20-S_2_1,08:21:40,08:29:10,150
20M-GLOBAUX-20-S_2_1,08:29:10,08:34:50,170
20M-GLOBAUX-20-S_2_1,08:34:50,08:40:50,180
20M-GLOBAUX-20-S_2_1,08:40:50,08:44:10,200
20M-GLOBAUX-20-S_2_1,08:44:10,08:47:55,225
20M-GLOBAUX-20-S_2_1,08:47:55,08:51:39,224
20M-GLOBAUX-20-S_2_1,08:51:39,09:02:54,225
20M-GLOBAUX-20-S_2_1,09:02:54,09:06:35,221
20M-GLOBAUX-20-S_2_1,09:06:35,09:17:50,225
20M-GLOBAUX-20-S_2_1,09:17:50,09:21:34,224
20M-GLOBAUX-20-S_2_1,09:21:34,09:32:49,225
20M-GLOBAUX-20-S_2_1,09:32:49,09:36:33,224
20M-GLOBAUX-20-S_2_1,09:36:33,09:44:03,225
20M-GLOBAUX-20-S_2_1,09:44:03,09:49:03,300
20M-GLOBAUX-20-S_2_1,09:49:03,09:54:02,299
20M-GLOBAUX-20-S_2_1,09:54:02,10:04:02,300
20M-GLOBAUX-20-S_2_1,10:04:02,10:08:59,297
20M-GLOBAUX-20-S_2_1,10:08:59,10:33:59,300
20M-GLOBAUX-20-S_2_1,10:33:59,10:38:58,299
20M-GLOBAUX-20-S_2_1,10:38:58,11:03:58,300
20M-GLOBAUX-20-S_2_1,11:03:58,11:08:59,301
20M-GLOBAUX-20-S_2_1,11:08:59,12:48:59,300
20M-GLOBAUX-20-S_2_1,12:48:59,12:54:00,301
20M-GLOBAUX-20-S_2_1,12:54:00,14:29:00,300
20M-GLOBAUX-20-S_2_1,14:29:00,15:17:00,240
20M-GLOBAUX-20-S_2_1,15:17:00,15:27:30,210
20M-GLOBAUX-20-S_2_1,15:27:30,15:30:35,185
20M-GLOBAUX-20-S_2_1,15:30:35,15:49:50,165
20M-GLOBAUX-20-S_2_1,15:49:50,15:52:38,168
20M-GLOBAUX-20-S_2_1,15:52:38,16:05:08,150
20M-GLOBAUX-20-S_2_1,16:05:08,16:08:08,180
20M-GLOBAUX-20-S_2_1,16:08:08,17:04:48,200
20M-GLOBAUX-20-S_2_1,17:04:48,17:15:18,210
20M-GLOBAUX-20-S_2_1,17:15:18,17:34:03,225
20M-GLOBAUX-20-S_2_1,17:34:03,17:37:45,222
20M-GLOBAUX-20-S_2_1,17:37:45,18:00:15,225
20M-GLOBAUX-20-S_2_1,18:00:15,18:50:15,300
20M-GLOBAUX-20-S_2_1,18:50:15,18:55:13,298
20M-GLOBAUX-20-S_2_1,18:55:13,19:50:13,300
20M-GLOBAUX-20-S_2_1,19:50:13,19:55:10,297
20M-GLOBAUX-20-S_2_1,19:55:10,20:05:10,300
20M-GLOBAUX-20-S_2_1,20:05:10,20:10:07,297
20M-GLOBAUX-20-S_2_1,20:10:07,20:20:07,300
20M-GLOBAUX-20-S_2_1,20:20:07,20:25:06,299
20M-GLOBAUX-20-S_2_1,20:25:06,21:05:06,300
20M-GLOBAUX-20-S_2_1,21:05:06,21:10:05,299
20M-GLOBAUX-20-S_2_1,21:10:05,22:35:05,300
20M-GLOBAUX-20-S_2_1,22:35:05,22:41:35,390
20M-GLOBAUX-20-S_2_1,22:41:35,22:48:05,390
20M-GLOBAUX-20-S_2_1,22:48:05,22:54:50,405
20M-GLOBAUX-20-S_2_1,22:54:50,23:01:35,405
20M-GLOBAUX-20-S_2_1,23:01:35,23:08:35,420
20M-GLOBAUX-20-S_2_1,23:08:35,23:15:35,420
20M-GLOBAUX-20-S_2_1,23:15:35,23:22:32,417
20M-GLOBAUX-20-S_2_1,23:22:32,23:30:02,450
20M-GLOBAUX-20-S_2_1,23:30:02,23:37:32,450
20M-GLOBAUX-20-S_2_1,23:37:32,23:45:02,450
20M-GLOBAUX-20-S_2_1,23:45:02,23:52:31,449
20M-GLOBAUX-20-S_2_1,23:52:31,24:00:01,450
20M-GLOBAUX-20-S_2_1,24:00:01,24:07:31,450
20M-GLOBAUX-20-S_2_1,24:07:31,24:15:01,450
20M-GLOBAUX-20-S_2_1,24:15:01,24:22:51,470
20M-GLOBAUX-20-S_2_1,24:22:51,24:38:51,480
20M-GLOBAUX-20-S_2_0,05:30:00,05:36:50,410
20M-GLOBAUX-20-S_2_0,05:36:50,06:09:20,390
20M-GLOBAUX-20-S_2_0,06:09:20,06:44:20,300
20M-GLOBAUX-20-S_2_0,06:44:20,06:49:15,295
20M-GLOBAUX-20-S_2_0,06:49:15,07:02:45,270
20M-GLOBAUX-20-S_2_0,07:02:45,07:11:15,255
20M-GLOBAUX-20-S_2_0,07:11:15,07:15:05,230
20M-GLOBAUX-20-S_2_0,07:15:05,07:56:20,225
20M-GLOBAUX-20-S_2_0,07:56:20,08:10:00,205
20M-GLOBAUX-20-S_2_0,08:10:00,08:13:20,200
